country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nigeria,1040000000,1030000000,1250000000,1230000000,1220000000,1210000000,2160000000,2170000000,2230000000,2550000000,2560000000,3060000000,3340000000,3310000000,3110000000,3130000000,3130000000,3130000000,3160000000,3160000000,3700000000,4170000000,4500000000,4550000000,4710000000,4640000000,4690000000,4760000000,4760000000,4760000000,4660000000,4660000000,4610000000,4600000000,4790000000,4760000000,4760000000
Norway,349000000,335000000,311000000,366000000,342000000,491000000,408000000,1120000000,1560000000,1560000000,1510000000,1150000000,1240000000,1220000000,1210000000,1220000000,1330000000,1060000000,1050000000,1120000000,1130000000,1970000000,1910000000,2210000000,2150000000,2120000000,2070000000,2080000000,1990000000,1840000000,1840000000,1860000000,1880000000,1840000000,1730000000,1670000000,1590000000
Oman,72900000,70200000,74700000,149000000,194000000,196000000,206000000,245000000,255000000,251000000,252000000,83700000,135000000,180000000,230000000,408000000,555000000,488000000,511000000,747000000,773000000,851000000,851000000,891000000,896000000,896000000,882000000,882000000,855000000,476000000,468000000,463000000,454000000,635000000,619000000,635000000,635000000
Pakistan,405000000,419000000,433000000,459000000,468000000,561000000,572000000,563000000,586000000,585000000,578000000,680000000,573000000,586000000,533000000,536000000,530000000,536000000,551000000,632000000,609000000,671000000,684000000,711000000,718000000,767000000,762000000,718000000,654000000,624000000,592000000,586000000,579000000,521000000,488000000,408000000,408000000
Papua New Guinea,0,0,0,0,0,102000,280000,548000,815000,1440000,1540000,2570000,2780000,3490000,2730000,2730000,2730000,2730000,2730000,2730000,2730000,2730000,2580000,2450000,2320000,2180000,2050000,1930000,1800000,140000000,140000000,140000000,139000000,139000000,136000000,127000000,189000000
Peru,28800000,28800000,24300000,23400000,22500000,24300000,49500000,306000000,306000000,306000000,305000000,309000000,293000000,299000000,306000000,181000000,181000000,178000000,222000000,222000000,222000000,222000000,222000000,222000000,293000000,301000000,298000000,301000000,306000000,306000000,318000000,324000000,392000000,383000000,373000000,359000000,359000000
Poland,84700000,81400000,79000000,76600000,74100000,78200000,134000000,133000000,139000000,134000000,130000000,125000000,129000000,126000000,126000000,125000000,121000000,126000000,115000000,119000000,96900000,93700000,94500000,89600000,88800000,86300000,92000000,94000000,94800000,99400000,98200000,96200000,92600000,88400000,85100000,81600000,81600000
Qatar,2520000000,2550000000,2830000000,3060000000,3850000000,4000000000,4000000000,4000000000,4160000000,4160000000,4150000000,5790000000,6040000000,6360000000,6360000000,7650000000,7650000000,7650000000,9810000000,10000000000,13000000000,23200000000,23200000000,22800000000,22800000000,23100000000,23000000000,22900000000,22800000000,22800000000,22500000000,22500000000,22400000000,22200000000,22100000000,21900000000,21900000000
Romania,270000000,252000000,230000000,207000000,189000000,243000000,212000000,178000000,149000000,120000000,94500000,433000000,419000000,401000000,383000000,366000000,350000000,337000000,324000000,313000000,302000000,290000000,280000000,275000000,266000000,565000000,565000000,565000000,555000000,545000000,536000000,98100000,91800000,91800000,99000000,99000000,99000000
Russia,,,,,,,,,,,,28200000000,28900000000,28900000000,28700000000,28000000000,27800000000,27900000000,27700000000,27400000000,27500000000,27700000000,28200000000,28100000000,27900000000,28100000000,28100000000,28200000000,28200000000,28300000000,28300000000,28600000000,28800000000,29000000000,29100000000,29000000000,29000000000
Saudi Arabia,2860000000,3010000000,3090000000,3190000000,3250000000,3320000000,3620000000,3770000000,4520000000,4700000000,4700000000,4700000000,4720000000,4720000000,4730000000,4990000000,5120000000,5290000000,5460000000,5530000000,5670000000,5810000000,5980000000,6080000000,6080000000,6140000000,6370000000,6570000000,6700000000,7010000000,7110000000,7200000000,7260000000,7350000000,7490000000,7580000000,7580000000
Syria,81000000,81000000,92700000,93600000,93600000,112000000,128000000,113000000,102000000,141000000,164000000,180000000,180000000,204000000,212000000,212000000,212000000,214000000,214000000,217000000,217000000,217000000,225000000,261000000,261000000,261000000,261000000,256000000,243000000,257000000,257000000,257000000,257000000,257000000,257000000,257000000,257000000
Thailand,263000000,362000000,315000000,151000000,189000000,196000000,184000000,166000000,176000000,206000000,202000000,221000000,208000000,163000000,158000000,158000000,176000000,185000000,378000000,311000000,324000000,340000000,397000000,376000000,319000000,274000000,298000000,285000000,306000000,281000000,270000000,256000000,230000000,214000000,198000000,186000000,186000000
Trinidad and Tobago,267000000,306000000,301000000,285000000,280000000,285000000,278000000,273000000,265000000,257000000,227000000,214000000,210000000,207000000,257000000,314000000,410000000,465000000,504000000,545000000,501000000,518000000,530000000,479000000,479000000,477000000,432000000,433000000,392000000,367000000,343000000,338000000,334000000,312000000,293000000,293000000,270000000
Turkmenistan,,,,,,,,,,,,,,,,,,2130000000,2030000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,6610000000,6610000000,9150000000,15700000000,15700000000,15700000000,15700000000,15700000000,15700000000
Ukraine,,,,,,,,,,,,,,,,,,600000000,642000000,637000000,634000000,634000000,634000000,631000000,634000000,628000000,627000000,627000000,615000000,603000000,590000000,589000000,578000000,566000000,555000000,543000000,532000000
United Arab Emirates,2130000000,2280000000,2680000000,2740000000,2800000000,2830000000,4870000000,5120000000,5100000000,5090000000,5060000000,5210000000,5220000000,5220000000,6100000000,5270000000,5210000000,5460000000,5400000000,5400000000,5390000000,5450000000,5450000000,5440000000,5470000000,5500000000,5800000000,5790000000,5480000000,5480000000,5480000000,5480000000,5480000000,5480000000,5480000000,5480000000,5480000000
United Kingdom,665000000,598000000,570000000,641000000,653000000,583000000,571000000,580000000,531000000,504000000,491000000,486000000,549000000,567000000,594000000,630000000,684000000,689000000,680000000,684000000,662000000,590000000,567000000,531000000,478000000,433000000,371000000,309000000,263000000,230000000,227000000,221000000,220000000,217000000,185000000,186000000,186000000
United States,5070000000,5140000000,5140000000,5100000000,5030000000,4930000000,4880000000,4770000000,4280000000,4260000000,4320000000,4260000000,4210000000,4140000000,4180000000,4210000000,4240000000,4260000000,4180000000,4270000000,4520000000,4680000000,4760000000,4820000000,4910000000,5210000000,5380000000,6060000000,6240000000,6940000000,7760000000,8510000000,7850000000,8620000000,9400000000,7840000000,7840000000
Uzbekistan,,,,,,,,,,,,,,,,,,999000000,999000000,999000000,1060000000,1060000000,1060000000,1060000000,1060000000,1060000000,1070000000,1070000000,1060000000,1020000000,1010000000,1010000000,1010000000,977000000,977000000,977000000,977000000
Venezuela,1140000000,1230000000,1320000000,1410000000,1500000000,1560000000,2360000000,2550000000,2570000000,2690000000,3090000000,3220000000,3320000000,3320000000,3570000000,3660000000,3650000000,3710000000,3730000000,3740000000,3740000000,3760000000,3760000000,3800000000,3860000000,3880000000,4240000000,4360000000,4480000000,4560000000,4970000000,4980000000,5010000000,5020000000,5060000000,5130000000,5130000000
Vietnam,0,0,0,0,0,0,0,0,0,0,13500000,13500000,95400000,95400000,121000000,132000000,154000000,153000000,153000000,153000000,153000000,174000000,207000000,198000000,198000000,198000000,198000000,430000000,501000000,614000000,555000000,555000000,555000000,555000000,555000000,555000000,555000000
Yemen,0,0,0,0,0,0,15300000,102000000,140000000,178000000,221000000,291000000,291000000,291000000,291000000,291000000,291000000,291000000,291000000,291000000,291000000,291000000,291000000,291000000,291000000,291000000,291000000,291000000,291000000,291000000,284000000,273000000,264000000,253000000,242000000,240000000,240000000
