country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Chile,10900,11400,12300,12300,12200,12700,13100,12400,12500,12700,12700,12100,11800,11600,11700,11000,11100,11400,11700,11900,12000,12100,12500,13400,14000,14500,15100,15800,15900,16800,16900,17500,17600,17600,17700,18200,18400,18000,18000,18100,18000,18200,18400
China,781000,814000,826000,827000,831000,855000,862000,872000,877000,874000,869000,861000,871000,891000,909000,909000,926000,941000,962000,992000,1020000,1010000,1010000,1000000,1020000,1080000,1090000,1070000,1060000,1060000,1040000,1050000,1090000,1150000,1250000,1330000,1390000,1440000,1540000,1580000,1640000,1700000,1750000
Colombia,36900,36600,38200,38100,39800,41500,43100,42800,44900,45100,45200,45500,46500,45900,43800,44300,45400,47600,47400,48800,50300,49500,50700,52100,51000,52600,53900,54300,54300,52100,55100,54500,55400,56200,57500,57700,59700,61600,63100,67200,66600,67300,68000
Comoros,142,143,145,147,150,153,159,162,166,170,170,170,170,169,172,170,171,171,175,180,181,185,189,193,198,203,208,212,219,226,224,231,237,235,240,245,252,255,261,277,278,281,284
"Congo, Dem. Rep.",120000,49200,56100,62900,49600,66500,55000,68500,73700,109000,82400,65800,79400,77900,49600,51700,48500,84000,45700,57700,98300,73500,143000,59400,78300,81600,63300,58300,66600,50900,63700,58400,65900,52900,63700,57700,95400,190000,69400,69800,73900,74600,75300
"Congo, Rep.",6680,4170,4470,5250,5070,5370,4960,5140,5300,6600,5690,5180,5750,5770,4810,4940,4920,6310,5040,5620,7190,6180,8770,5690,6310,6690,6420,6500,6790,6210,8050,9140,6030,6570,7340,7690,6580,8730,6660,7630,7020,7090,7160
Costa Rica,2600,2680,2770,3050,3100,3190,3220,3290,3420,3570,3590,3770,3790,3870,4000,3870,3840,3830,3750,3660,3770,3760,3730,3610,3340,3050,3050,2980,3050,2950,2920,2850,2770,2730,2680,2430,2340,2250,2170,2250,2270,2290,2310
Cote d'Ivoire,7800,7550,7490,8250,6280,6980,7350,8840,7430,8230,10300,8450,9960,9260,9250,8410,8700,9220,8670,9640,12100,9720,11400,10600,10800,12100,12000,12300,12000,10600,14200,13600,13400,10300,10700,12500,13200,13600,14500,15000,15900,16100,16300
Croatia,2990,3020,3070,3180,3350,3490,3530,3580,3590,3570,3520,3560,3570,3550,3580,3690,3670,3760,4000,4100,4170,4150,4050,4110,3890,3910,3840,3850,3800,3800,3950,4080,4180,4390,4500,4520,4740,4870,4860,4930,5040,4820,4710
Cuba,13600,12200,11800,12400,12300,12100,12100,12000,12100,12200,11900,11700,12200,11800,12100,12000,12000,11900,12000,12300,12100,12000,11700,10500,11000,10400,11200,11000,10600,10500,10600,10200,10500,10200,9920,9270,8880,8610,8410,8560,8390,8480,8560
Cyprus,341,346,357,365,344,253,263,281,298,303,311,322,335,351,370,384,390,403,415,425,441,457,466,484,516,523,540,554,562,564,568,585,611,627,624,618,615,615,613,620,620,631,642
Czech Republic,18000,18100,18200,18100,18300,18700,19000,19700,19500,20300,19700,19800,19900,20100,20200,20100,20000,19900,19800,19300,18200,17000,15000,13500,12300,11600,12800,12600,12000,11600,13000,13000,12600,12400,12400,12100,12000,12100,11900,11800,12000,11800,11900
Denmark,7690,7560,7770,7930,8030,8000,8080,8160,8330,8400,8430,8370,8290,8320,8150,8100,8050,7980,7820,7880,7980,8130,8180,8330,8200,8200,8200,8270,8240,8070,8130,8260,8110,8050,7960,7960,7850,7820,7860,7660,7760,7630,7600
Djibouti,149,155,160,164,173,187,193,219,233,240,258,256,259,281,297,316,330,352,376,398,418,426,433,445,461,489,511,520,533,553,561,569,573,578,586,591,596,603,609,616,622,628,634
Dominica,16.3,17.1,18,19,19.9,20.9,21.9,22.9,23.9,25,25.9,26.5,27.2,27.7,28.4,29.6,31,34.3,34.9,36.7,36.4,36.4,36.6,36.8,37,37.3,37.5,37.6,37.8,38.1,38.1,38.3,38.4,38.5,38.6,38.7,38.9,39.1,39.3,39.6,39.8,40.2,40.6
Dominican Republic,3790,4020,4060,4160,4620,4930,5300,5300,5120,5350,5400,5220,5500,5780,5810,5750,5740,5790,5820,6050,6000,6270,7000,6820,6720,6760,6970,6950,6960,6220,6240,6590,6720,6640,6720,6690,6740,6720,6730,6950,6730,6790,6860
Ecuador,6620,6040,6340,6580,6780,7030,7220,7150,7050,7540,7810,7970,8150,8060,8900,9310,10000,9890,10800,10900,11000,11400,12000,12600,13800,14300,14500,13900,13600,13600,12900,13300,13000,14200,15300,15100,15100,14900,14800,15500,15500,15600,15800
Egypt,20800,20600,20400,19800,20800,21000,21600,21200,21400,21200,20800,21100,21800,22100,22800,23200,23800,24600,24800,26000,27000,28200,29200,30300,30700,31500,31900,32700,31900,34600,36000,36700,39600,42000,43500,48000,49700,50200,52000,50900,51000,51500,52000
El Salvador,2240,2140,2200,2090,2180,2240,2350,2560,2670,2750,2550,2420,2260,2250,2290,2380,2400,2470,2510,2580,2670,2770,2840,2770,2850,2690,2940,2850,2730,2890,2800,3000,3230,3090,3120,3150,3190,3090,3130,2980,2970,3000,3030
Equatorial Guinea,75.8,76.8,77.2,78,79,80.7,82.4,84.3,85.9,87.9,89.8,91.6,93.7,96.2,98.1,100,103,105,109,113,118,272,431,590,744,788,861,1220,1470,1580,1690,2180,1890,1990,2460,2530,2600,2740,2750,2830,2900,2930,2960
Eritrea,1800,1810,1780,1810,1790,1750,1760,1790,1800,1820,1850,1840,1860,1900,1860,1910,1980,1940,1960,2030,2070,2080,2170,1930,1960,2010,2240,2500,2540,2650,2680,2550,2410,2460,2580,2610,2680,2780,2770,2800,2840,2870,2890
Estonia,2210,2280,2370,2420,2490,2540,2550,2580,2620,2640,2650,2630,2660,2710,2740,2770,2820,2860,3060,3260,3410,3270,2880,2390,2210,2110,2230,2250,2170,2080,2140,2160,2090,2190,2260,2210,2220,2250,2250,2230,2320,2230,2230
Ethiopia,32700,32700,32200,33000,31300,30900,31100,32600,31800,32700,34500,33100,34500,34700,33900,34500,36200,35100,34900,37200,40000,39000,42000,40200,40500,41900,43100,44500,47000,48300,46200,46800,52400,50900,51000,53000,58400,58800,60300,62100,63200,63800,64500
Fiji,416,407,411,418,437,460,455,474,467,506,514,523,538,528,563,577,601,608,620,631,635,647,651,688,711,734,734,729,717,706,705,717,697,689,693,696,700,704,707,705,701,708,715
Finland,9970,9880,9970,10000,10000,9400,9490,9490,9650,9850,10000,10100,9920,9920,9150,9320,9350,9400,9470,9670,10100,9800,9700,9840,10100,10200,10000,10200,10400,10300,10300,10300,9910,10000,10100,9760,9800,9670,9520,8510,8900,8550,8550
France,82900,81600,81000,80800,81100,82900,85300,88500,89100,90000,88300,85700,82800,83000,83100,81800,80700,78600,75700,75500,75700,76700,75600,74400,73800,74200,89100,87200,86200,86200,85600,85300,83900,83300,83000,82900,83200,83100,82900,83600,83800,82400,81200
Gabon,876,893,974,2130,2280,2650,2750,2740,2760,2980,2790,2730,2740,2510,2930,3290,2550,2430,2380,3160,3480,3350,3690,3540,3640,3980,4250,4050,4680,4200,4080,4530,4160,4540,4450,4300,3530,3160,5250,3470,3820,3860,3890
Gambia,495,501,486,483,473,490,500,522,511,500,555,556,577,524,506,513,536,559,572,579,614,596,621,609,630,659,663,662,656,675,722,784,790,659,734,754,766,1040,893,964,1020,1030,1040
Georgia,3490,3630,3760,3850,3950,4030,4050,4050,4030,4010,3980,3960,3890,3850,3930,3950,3980,4040,5090,5090,5040,4850,4840,4640,3990,4120,4360,4080,4090,4050,4140,4190,4210,4270,4330,4410,4530,4650,4710,4820,4860,4940,5020
Germany,127000,126000,124000,124000,125000,124000,124000,123000,125000,128000,129000,129000,128000,125000,124000,126000,124000,121000,118000,117000,115000,109000,103000,97900,94500,92600,89100,86800,83000,80200,76200,72500,68800,66300,63700,61800,60100,59600,57700,58700,57200,57200,55700
Ghana,5230,5190,5280,5560,4990,5250,5380,6140,5550,5800,6670,6060,6560,6330,6540,6270,6420,6730,6490,7050,7920,7110,8050,8090,8380,8980,9080,9330,9040,8660,9630,9750,9240,9140,8790,9980,11100,16700,22500,20000,20700,20900,21100
Greece,5870,5870,6040,6390,6820,6930,6970,6940,6810,6830,6800,6900,6830,6920,6900,7010,7090,7280,7420,7550,7730,7650,7500,7550,7680,7710,7810,7980,8170,7900,8100,8230,8160,8200,8260,8210,8270,8320,8210,8430,8420,8340,8250
Grenada,25.4,25.3,24.1,24.7,24.1,23.7,24.9,26,27,26.7,26.8,26.8,26.7,26.3,25.7,24.7,24.3,24,24,24.2,24.8,25.1,25.5,25.8,26.3,26.6,28.2,28.8,28.3,29.6,30.7,31.3,32.4,32.9,33.2,33.8,34.4,34.6,35,35.5,36,36.3,36.7
Guatemala,3220,3470,3660,3650,3570,3680,3380,3620,3720,4010,4180,4230,4450,4500,4480,4540,4590,4690,4820,4740,4800,5090,5160,5480,5320,5360,5470,5410,20700,6040,19400,6160,7230,12500,6260,8400,6180,6320,6360,6440,6740,6810,6880
Guinea,7150,6990,6910,7550,6330,6690,6860,7690,6510,6850,8640,7480,8330,7850,7780,6930,6500,6720,6230,6900,8710,7040,7570,7210,7300,8400,8850,8330,8180,9490,8820,10300,10300,8860,9170,10100,20200,22000,33300,56300,28100,28400,28700
