country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Poland,-20.1,-21.1,-14.2,-13.3,-11.3,-9.89,-12.3,-11.1,-11.2,-13.2,-12.7,-15.9,-16.7,-18.1,-21.3,-26.7,-29.8,-27,-34.9,-37.2
Portugal,-9.33,-8.02,-10.8,-11.2,-12.4,-10.8,-13.6,-14.1,-13,-13.8,-13.6,-13.8,-13.6,-7.81,-11.6,-6.22,-11.9,-12.6,-13.5,-14.1
Romania,-35.6,-37,-37.8,-39.1,-39.7,-39,-38,-38.4,-40.5,-39.2,-38,-39,-36.5,-36.2,-35.5,-37.2,-37.2,-36.1,-36.4,-36.5
Russia,77.9,74.5,-26.9,-115,-185,-226,-294,-392,-388,-421,-462,-538,-567,-557,-542,-538,-532,-562,-593,-656
Rwanda,,,,,,,,,,,,,-7.01,,,,,,,
Samoa,,,,,-0.082,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,-0.004,,
Sao Tome and Principe,,,,,,,,,-1.54,,,,,,,,,,,
Saudi Arabia,-15.2,,,,,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,-10.5,,,,,,,,,
Serbia,,,,,,,,,-8.66,,,,,,,,,,,
Seychelles,,,,,,-0.833,,,,,,,,,,,,,,
Slovak Republic,-2.95,-3.81,-5.68,-4.78,-3.79,-3.35,-3.12,-2.44,-2.88,-2.68,-3.07,-6.29,-6.51,-5.81,-5.1,-1.43,-4.13,-3.96,-3.18,-3.45
Slovenia,-7.27,-7.26,-7.29,-7.35,-7.34,-7.3,-7.28,-7.25,-7.11,-7.23,-7.25,-8.48,-8.49,-8.15,-8.49,-8.46,-8.25,-8.48,-8.48,-8.46
South Africa,,,,,-18.6,,,,,,,,,,,,,,,
South Korea,,,,,,,,,,,,-34.6,,,,,,,,
Spain,-19.1,-18.9,-17.7,-16.9,-19,-19.2,-19.9,-21.5,-22.3,-22.7,-23.3,-23.2,-23.4,-22.6,-24.3,-24.6,-27.7,-29.7,-29.1,-28.6
Sri Lanka,,,,,,379,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,-0.0898,,,,,,,,,,,,,,,
St. Lucia,,,,,-0.345,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,-0.132,,,,,,,,,,,,
Sudan,,,,,,17.8,,,,,,,,,,,,,,
Suriname,,,,,,,,,,,,,,1.54,,,,,,
Swaziland,,,,,-3.25,,,,,,,,,,,,,,,
Sweden,-44.7,-45.8,-42.1,-39,-39.9,-39.3,-40.1,-41.8,-41.1,-39.3,-41,-38.7,-41,-39.8,-36.4,-36.2,-35,-34.2,-33.9,-41.6
Switzerland,-2.73,-2.59,-2.01,-3.7,-4.54,-3.46,-3.3,-1.99,-1.89,-0.704,1.44,1.89,1.63,-1.17,-0.454,-0.373,0.952,0.569,0.574,0.0886
Tajikistan,,,,,,,,,,,,,,-1.93,,,,,,
Tanzania,,,,,914,,,,,,,,,,,,,,,
Thailand,,,,,,,,,,,-7.89,,,,,,,,,
Togo,,,,,,,,,28.1,,,,,,,,,,,
Tonga,,,,,-0.31,,,,,,,,,,,,,,,
Trinidad and Tobago,-1.5,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,-1.77,,,,,,,,,,,,,,,
Turkey,-44.9,-56.3,-60.7,-60.3,-62.2,-61.8,-62.4,-64.3,-65.6,-66.4,-67.6,-72.1,-68.8,-67.6,-75.1,-69.5,-75.9,-76.3,-80.6,-82.5
Turkmenistan,,,,,,,,,,,,,,,-0.83,,,,,
Uganda,,,,,8.25,,,,,,,,,,,,,,,
Ukraine,-69.9,-77.7,-64.4,-49,-61.7,-48.3,-53.8,-33.8,-48.5,-61.8,-48.8,-37.7,-37.6,-57.3,-38.2,-36.2,-39.1,-51,-17.2,-19.2
United Arab Emirates,,,,,,,,,,,-9.66,,,,,,,,,
United Kingdom,3.92,3.89,3.31,2.26,2.08,2.45,2.22,1.93,1.35,1.1,0.422,-0.0902,-0.982,-1.34,-2.43,-2.96,-3.16,-3.52,-3.96,-4.08
United States,-847,-819,-804,-759,-850,-795,-680,-728,-602,-504,-540,-636,-831,-980,-1030,-1030,-1010,-1010,-1010,-990
Uruguay,,,,,,,,,,,,,,,-10.3,,,,,
Uzbekistan,,,,,,,,,,,,,,,,0.417,,,,
Vanuatu,,,,,-0.0012,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,-14.3,,,,,,,,,,
Vietnam,,,,,,,,,,,15.1,,,,,,,,,
Yemen,,,,,,-9.67,,,,,,,,,,,,,,
Zambia,,,,,3.46,,,,,,,,,,,,,,,
Zimbabwe,,,,,-62.2,,,,,,,,,,,,,,,
