country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31300,30800,25100,19900,19400,18600,21000,16800,18000,11300,11300,12700,12700,14600,13000,11500,10600,9250,8700,10500,11800,12100,11600
Bahamas,411,546,726,708,1090,1320,1090,1360,1290,1340,2160,6310,6000,7380,6980,8060,6330,9680,6440,6710,7760,2720,2190,2010,1860,1510,1410,1420,1540,1940,1950,1780,1790,1690,1680,1680,1660,1360,1680,1670,1660,1570,1570,1510,1720,1730,1660,1690,1490,1640,1650,1860,1970,2800,2410
Bahrain,576,1770,1590,1100,1500,1130,535,891,587,678,1920,2020,1510,2410,1610,1760,2390,2930,2780,2660,2290,2870,3620,1660,2390,1950,1630,2440,2480,1650,1890,1860,843,2010,2410,1660,2060,2730,3000,2100,2440,1920,3070,3420,3810,4700,3070,5760,6560,3670,4120,3700,1580,4440,2210
Bangladesh,,,,,,,,,,,,,2430,2930,2820,3350,3630,3580,3750,4210,4810,4850,4700,4250,4400,4840,5300,5330,6010,5770,6710,6400,7680,6750,7250,8420,9520,10100,8740,8390,7940,9710,9980,10400,10600,10600,10900,10000,9800,9260,10600,13600,14700,14200,15200
Barbados,165,187,253,183,176,198,257,330,436,477,425,480,499,473,488,565,521,579,612,576,649,671,631,667,634,689,766,799,803,829,920,1060,851,1030,667,741,741,766,942,994,983,1030,1020,1060,1090,1130,1150,1180,1440,1460,1330,1390,1350,1320,1160
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44500,36700,30500,28500,26600,22900,22100,19800,16700,15800,15000,14600,16500,16500,18500,16700,18400,23300,16900,20100,19000,19000,18600
Belgium,20800,23300,27100,32000,35600,40500,43900,46700,54800,59600,65400,66800,71500,73700,63800,61500,65000,64200,68900,67900,64000,55600,53200,45800,43700,44200,50400,48700,49100,47400,45600,51200,53600,51900,53300,52500,56800,56300,56700,54300,51800,54100,49900,54800,53400,52300,50700,48500,50800,50900,55000,50600,47300,48900,49700
Belize,44,36.7,69.7,62.3,84.3,84.3,80.7,121,103,136,121,143,158,147,154,176,176,198,216,209,191,183,172,172,172,191,205,227,249,301,312,359,356,378,374,378,308,389,370,348,396,447,433,433,392,422,444,477,436,587,524,590,469,506,491
Benin,161,128,136,121,143,150,114,143,154,202,282,293,389,381,407,444,260,297,363,367,374,282,334,304,352,594,535,389,455,506,557,660,715,880,1030,1040,1090,1120,1110,1460,1470,1690,1950,2230,2380,2270,3130,3720,3740,4000,4440,4570,4780,5100,5440
Bhutan,,,,,,,,,,,3.67,3.67,3.67,3.67,3.67,3.67,3.67,7.33,11,18.3,18.3,25.7,29.3,29.3,51.3,62.3,55,58.7,62.3,62.3,80.7,80.7,77,84.3,88,103,125,121,128,136,147,161,169,187,198,213,220,224,216,242,312,367,418,440,407
Bolivia,968,931,990,1100,1200,1310,1440,1570,1730,1750,1810,1870,2050,2180,2370,2870,3160,3310,3310,3380,3480,3570,3220,3170,3080,3130,2880,2940,2950,3060,3270,3290,3410,3700,4180,5030,5480,5790,6600,6040,4660,5080,4930,6060,6090,6710,6620,7180,7310,7430,7990,8460,10300,10100,10600
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1350,1610,1660,1710,1760,2160,2130,3300,3250,3100,2850,3410,3140,3320,3550,4100,4400,4460,4420,4110,4010,4100
Botswana,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953,917,836,1270,1080,1070,1170,1100,1320,1570,1730,1840,1890,2020,1910,1950,2050,2300,2550,2180,2450,2590,2750,2890,3000
